dataset,n_obs,n_clusters,seed,variant,encoder,view_mode,sampling,weights,elapsed_sec,wall_sec,peak_memory_mib,ARI,NMI,AMI,FMI
hln_D1,3349,10,202,RNA_only,GAT,view_specific,cluster,"(1.0,)",5.1780846118927,5.288897275924683,42.54931640625,0.12400975672174888,0.23153524708012133,0.2264153940522544,0.2904211257069093
hln_D1,3349,10,202,ADT_only,GAT,view_specific,cluster,"(1.0,)",6.485751390457153,6.614761114120483,42.54931640625,0.1694561996436595,0.2673374308244595,0.2623022534673687,0.34054069228648914
hln_D1,3349,10,202,GCN_encoder,GCN,view_specific,cluster,"(0.4, 0.6)",5.314320087432861,5.4477105140686035,22.740234375,0.18710001120917638,0.30949085005868515,0.3047361484830671,0.3566227229363083
hln_D1,3349,10,202,SAGE_encoder,SAGE,view_specific,cluster,"(0.4, 0.6)",7.29490327835083,7.41161036491394,21.60498046875,0.14611811950599093,0.29223552904286065,0.2876454258393935,0.3023869638405415
hln_D1,3349,10,303,SMAHD_full,GAT,view_specific,cluster,"(0.4, 0.6)",9.82088828086853,9.999087810516357,55.3447265625,0.16388319878423693,0.301060838192515,0.29628633520692943,0.3332171273660407
hln_D1,3349,10,303,equal_weights,GAT,view_specific,cluster,"(1.0, 1.0)",9.383381605148315,9.550978660583496,55.3447265625,0.20776094028348857,0.31656944083752386,0.31183894145736735,0.37438159628607487
hln_D1,3349,10,303,early_concat_single_encoder,GAT,concat,cluster,"(1.0,)",6.132214784622192,6.24423360824585,42.6640625,0.17784009814794755,0.3000024422802441,0.2952262922027414,0.34510907199338325
hln_D1,3349,10,303,full_batch_no_microcluster,GAT,view_specific,full,"(0.4, 0.6)",2.178647994995117,2.2883284091949463,324.99169921875,0.19976184194854416,0.2914295263657518,0.2864764927086681,0.3704264713156734
hln_D1,3349,10,303,RNA_only,GAT,view_specific,cluster,"(1.0,)",5.396731615066528,5.502678632736206,40.42578125,0.14358504246654857,0.27466751626921465,0.2698398688591571,0.3072820087918808
hln_D1,3349,10,303,ADT_only,GAT,view_specific,cluster,"(1.0,)",6.026481628417969,6.14345908164978,40.42578125,0.19145466896776298,0.2941449897907034,0.2893107174614722,0.3587495579415878
hln_D1,3349,10,303,GCN_encoder,GCN,view_specific,cluster,"(0.4, 0.6)",5.1612420082092285,5.265296936035156,22.7802734375,0.1966834319629878,0.2823873918680764,0.2773773077439095,0.3684855118092476
hln_D1,3349,10,303,SAGE_encoder,SAGE,view_specific,cluster,"(0.4, 0.6)",7.209707736968994,7.314725399017334,21.59716796875,0.13737216733459384,0.2797732848139476,0.27506738205945663,0.2961298654497992
